#           N         Chain          BCCA          BPCA
 1.000000e+00  4.262246e-01  0.000000e+00  0.000000e+00
 1.056935e+00  6.810522e-02  0.000000e+00  0.000000e+00
 1.117111e+00  2.468086e-01  0.000000e+00  0.000000e+00
 1.180713e+00  5.196173e-01  0.000000e+00  0.000000e+00
 1.247936e+00  7.514595e-01  0.000000e+00  0.000000e+00
 1.318987e+00  9.435044e-01  0.000000e+00  0.000000e+00
 1.394083e+00  1.096945e+00  0.000000e+00  0.000000e+00
 1.473454e+00  1.212991e+00  0.000000e+00  0.000000e+00
 1.557345e+00  1.292862e+00  0.000000e+00  0.000000e+00
 1.646012e+00  1.337785e+00  0.000000e+00  0.000000e+00
 1.739726e+00  1.348984e+00  0.000000e+00  0.000000e+00
 1.838777e+00  1.327682e+00  0.000000e+00  0.000000e+00
 1.943467e+00  1.275090e+00  0.000000e+00  0.000000e+00
 2.054117e+00  1.192407e+00  0.000000e+00  0.000000e+00
 2.171068e+00  1.080818e+00  0.000000e+00  0.000000e+00
 2.294676e+00  9.414886e-01  0.000000e+00  0.000000e+00
 2.425323e+00  7.755626e-01  0.000000e+00  0.000000e+00
 2.563407e+00  7.664313e-01  0.000000e+00  0.000000e+00
 2.709354e+00  9.481761e-01  0.000000e+00  0.000000e+00
 2.863610e+00  1.098911e+00  0.000000e+00  0.000000e+00
 3.026648e+00  1.219529e+00  0.000000e+00  0.000000e+00
 3.198969e+00  1.311020e+00  0.000000e+00  0.000000e+00
 3.381101e+00  1.374466e+00  0.000000e+00  0.000000e+00
 3.573602e+00  1.411027e+00  0.000000e+00  0.000000e+00
 3.777064e+00  1.421936e+00  0.000000e+00  0.000000e+00
 3.992109e+00  1.408484e+00  0.000000e+00  0.000000e+00
 4.219398e+00  1.372010e+00  0.000000e+00  0.000000e+00
 4.459628e+00  1.313889e+00  0.000000e+00  0.000000e+00
 4.713535e+00  1.235517e+00  0.000000e+00  0.000000e+00
 4.981898e+00  1.138306e+00  0.000000e+00  0.000000e+00
 5.265540e+00  1.023667e+00  0.000000e+00  0.000000e+00
 5.565331e+00  8.930033e-01  0.000000e+00  0.000000e+00
 5.882190e+00  7.477004e-01  0.000000e+00  0.000000e+00
 6.217090e+00  5.891173e-01  0.000000e+00  0.000000e+00
 6.571058e+00  4.185792e-01  0.000000e+00  0.000000e+00
 6.945178e+00  2.373711e-01  0.000000e+00  0.000000e+00
 7.340598e+00  4.673217e-02  0.000000e+00  0.000000e+00
 7.758532e+00  1.521486e-01  0.000000e+00  0.000000e+00
 8.200261e+00  3.581362e-01  6.231361e-02  4.320003e-02
 8.667139e+00  5.701520e-01  1.947871e-01  1.303706e-01
 9.160598e+00  7.871760e-01  3.176699e-01  2.041390e-01
 9.682153e+00  1.008248e+00  4.312351e-01  2.643292e-01
 1.023340e+01  1.232468e+00  5.357801e-01  3.107842e-01
 1.081604e+01  1.458995e+00  6.316250e-01  3.433658e-01
 1.143184e+01  1.687050e+00  7.191102e-01  3.619550e-01
 1.208271e+01  1.915909e+00  7.985947e-01  3.664524e-01
 1.277063e+01  2.144909e+00  8.704540e-01  3.567781e-01
 1.349772e+01  2.373439e+00  9.350778e-01  3.328718e-01
 1.426621e+01  2.600942e+00  9.928685e-01  2.946930e-01
 1.507845e+01  2.826914e+00  1.044239e+00  2.422210e-01
 1.593694e+01  3.050898e+00  1.089611e+00  1.754543e-01
 1.684430e+01  3.272484e+00  3.713762e-01  3.995869e-03
 1.780332e+01  3.491304e+00  4.978733e-02  2.782690e-01
 1.881694e+01  3.707035e+00  2.818910e-01  5.554463e-01
 1.988828e+01  3.919391e+00  6.230909e-01  8.356535e-01
 2.102061e+01  4.128121e+00  9.732486e-01  1.118999e+00
 2.221741e+01  4.333009e+00  1.331806e+00  1.405575e+00
 2.348235e+01  4.533872e+00  1.698212e+00  1.695458e+00
 2.481930e+01  4.730554e+00  2.071925e+00  1.988709e+00
 2.623238e+01  4.922927e+00  2.452411e+00  2.285372e+00
 2.772591e+01  5.110887e+00  2.839148e+00  2.585480e+00
 2.930447e+01  5.294353e+00  3.231627e+00  2.889049e+00
 3.097291e+01  5.473267e+00  3.629350e+00  3.196084e+00
 3.273634e+01  5.647586e+00  4.031832e+00  3.506576e+00
 3.460016e+01  5.817287e+00  4.438603e+00  3.820503e+00
 3.657011e+01  5.982363e+00  4.849208e+00  4.137835e+00
 3.865221e+01  6.142818e+00  5.263205e+00  4.458526e+00
 4.085286e+01  6.298673e+00  5.680168e+00  4.782523e+00
 4.317880e+01  6.449957e+00  6.099689e+00  5.109763e+00
 4.563716e+01  6.596710e+00  6.521371e+00  5.440174e+00
 4.823549e+01  6.738981e+00  6.944835e+00  5.773674e+00
 5.098176e+01  6.876828e+00  7.369720e+00  6.110173e+00
 5.388438e+01  7.010315e+00  7.795676e+00  6.449577e+00
 5.695227e+01  7.139510e+00  8.222372e+00  6.791781e+00
 6.019482e+01  7.264490e+00  8.649491e+00  7.136678e+00
 6.362198e+01  7.385335e+00  9.076732e+00  7.484151e+00
 6.724427e+01  7.502126e+00  9.503808e+00  7.834082e+00
 7.107280e+01  7.614952e+00  9.930448e+00  8.186346e+00
 7.511929e+01  7.723900e+00  1.035639e+01  8.540816e+00
 7.939618e+01  7.829062e+00  1.078140e+01  8.897360e+00
 8.391656e+01  7.930530e+00  1.120524e+01  9.255844e+00
 8.869432e+01  8.028397e+00  1.162770e+01  9.616132e+00
 9.374409e+01  8.122758e+00  1.204856e+01  9.978085e+00
 9.908137e+01  8.213706e+00  1.246765e+01  1.034156e+01
 1.047225e+02  8.301338e+00  1.288478e+01  1.070643e+01
 1.106848e+02  8.385746e+00  1.329979e+01  1.107253e+01
 1.169866e+02  8.467024e+00  1.371252e+01  1.143974e+01
 1.236472e+02  8.545266e+00  1.412282e+01  1.180791e+01
 1.306870e+02  8.620563e+00  1.453056e+01  1.217689e+01
 1.381276e+02  8.693007e+00  1.493561e+01  1.254656e+01
 1.459919e+02  8.762687e+00  1.533786e+01  1.291676e+01
 1.543038e+02  8.829691e+00  1.573720e+01  1.328737e+01
 1.630891e+02  8.894106e+00  1.613355e+01  1.365824e+01
 1.723745e+02  8.956017e+00  1.652679e+01  1.402924e+01
 1.821885e+02  9.015508e+00  1.691687e+01  1.440025e+01
 1.925614e+02  9.072660e+00  1.730369e+01  1.477112e+01
 2.035248e+02  9.127554e+00  1.768721e+01  1.514174e+01
 2.151123e+02  9.180267e+00  1.806735e+01  1.551198e+01
 2.273597e+02  9.230876e+00  1.844407e+01  1.588171e+01
 2.403043e+02  9.279455e+00  1.881732e+01  1.625083e+01
 2.539859e+02  9.326076e+00  1.918705e+01  1.661921e+01
 2.684465e+02  9.370810e+00  1.955324e+01  1.698674e+01
 2.837304e+02  9.413725e+00  1.991585e+01  1.735332e+01
 2.998844e+02  9.454888e+00  2.027487e+01  1.771884e+01
 3.169582e+02  9.494363e+00  2.063026e+01  1.808319e+01
 3.350041e+02  9.532214e+00  2.098202e+01  1.844628e+01
 3.540774e+02  9.568501e+00  2.133013e+01  1.880802e+01
 3.742366e+02  9.603283e+00  2.167458e+01  1.916831e+01
 3.955436e+02  9.636617e+00  2.201537e+01  1.952707e+01
 4.180637e+02  9.668559e+00  2.235251e+01  1.988421e+01
 4.418660e+02  9.699162e+00  2.268599e+01  2.023966e+01
 4.670234e+02  9.728479e+00  2.301582e+01  2.059332e+01
 4.936132e+02  9.756559e+00  2.334200e+01  2.094514e+01
 5.217169e+02  9.783450e+00  2.366456e+01  2.129505e+01
 5.514206e+02  9.809200e+00  2.398349e+01  2.164297e+01
 5.828155e+02  9.833853e+00  2.429883e+01  2.198884e+01
 6.159978e+02  9.857454e+00  2.461058e+01  2.233261e+01
 6.510694e+02  9.880043e+00  2.491877e+01  2.267422e+01
 6.881377e+02  9.901663e+00  2.522341e+01  2.301361e+01
 7.273165e+02  9.922352e+00  2.552454e+01  2.335074e+01
 7.687260e+02  9.942147e+00  2.582217e+01  2.368556e+01
 8.124930e+02  9.961086e+00  2.611633e+01  2.401803e+01
 8.587519e+02  9.979203e+00  2.640705e+01  2.434810e+01
 9.076446e+02  9.996531e+00  2.669437e+01  2.467575e+01
 9.593209e+02  1.001310e+01  2.697830e+01  2.500092e+01
 1.013939e+03  1.002895e+01  2.725888e+01  2.532361e+01
 1.071668e+03  1.004411e+01  2.753614e+01  2.564377e+01
 1.132683e+03  1.005859e+01  2.781011e+01  2.596137e+01
 1.197171e+03  1.007245e+01  2.808083e+01  2.627640e+01
 1.265332e+03  1.008569e+01  2.834833e+01  2.658884e+01
 1.337373e+03  1.009834e+01  2.861264e+01  2.689866e+01
 1.413516e+03  1.011043e+01  2.887380e+01  2.720584e+01
 1.493993e+03  1.012199e+01  2.913185e+01  2.751039e+01
 1.579053e+03  1.013304e+01  2.938681e+01  2.781227e+01
 1.668956e+03  1.014359e+01  2.963874e+01  2.811148e+01
 1.763977e+03  1.015367e+01  2.988765e+01  2.840801e+01
 1.864409e+03  1.016330e+01  3.013359e+01  2.870187e+01
 1.970558e+03  1.017249e+01  3.037659e+01  2.899303e+01
 2.082751e+03  1.018128e+01  3.061669e+01  2.928150e+01
 2.201331e+03  1.018967e+01  3.085394e+01  2.956728e+01
 2.326663e+03  1.019768e+01  3.108835e+01  2.985037e+01
 2.459130e+03  1.020533e+01  3.131997e+01  3.013077e+01
 2.599140e+03  1.021264e+01  3.154884e+01  3.040848e+01
 2.747121e+03  1.021961e+01  3.177500e+01  3.068352e+01
 2.903527e+03  1.022627e+01  3.199847e+01  3.095587e+01
 3.068838e+03  1.023262e+01  3.221929e+01  3.122556e+01
 3.243561e+03  1.023869e+01  3.243751e+01  3.149259e+01
 3.428231e+03  1.024448e+01  3.265315e+01  3.175698e+01
 3.623416e+03  1.025000e+01  3.286626e+01  3.201872e+01
 3.829714e+03  1.025528e+01  3.307686e+01  3.227784e+01
 4.047757e+03  1.026031e+01  3.328499e+01  3.253434e+01
 4.278214e+03  1.026511e+01  3.349070e+01  3.278824e+01
 4.521792e+03  1.026969e+01  3.369400e+01  3.303956e+01
 4.779239e+03  1.027406e+01  3.389494e+01  3.328831e+01
 5.051342e+03  1.027823e+01  3.409355e+01  3.353450e+01
 5.338938e+03  1.028221e+01  3.428986e+01  3.377816e+01
 5.642908e+03  1.028600e+01  3.448391e+01  3.401929e+01
 5.964185e+03  1.028962e+01  3.467573e+01  3.425793e+01
 6.303753e+03  1.029307e+01  3.486535e+01  3.449408e+01
 6.662655e+03  1.029636e+01  3.505280e+01  3.472777e+01
 7.041990e+03  1.029950e+01  3.523812e+01  3.495902e+01
 7.442922e+03  1.030249e+01  3.542134e+01  3.518784e+01
 7.866682e+03  1.030535e+01  3.560249e+01  3.541425e+01
 8.314568e+03  1.030807e+01  3.578160e+01  3.563829e+01
 8.787954e+03  1.031066e+01  3.595869e+01  3.585996e+01
 9.288292e+03  1.031313e+01  3.613381e+01  3.607930e+01
 9.817117e+03  1.031549e+01  3.630698e+01  3.629632e+01
 1.037605e+04  1.031774e+01  3.647823e+01  3.651104e+01
 1.096681e+04  1.031988e+01  3.664758e+01  3.672348e+01
 1.159120e+04  1.032192e+01  3.681507e+01  3.693368e+01
 1.225114e+04  1.032387e+01  3.698073e+01  3.714165e+01
 1.294865e+04  1.032572e+01  3.714458e+01  3.734742e+01
 1.368587e+04  1.032749e+01  3.730665e+01  3.755100e+01
 1.446507e+04  1.032918e+01  3.746696e+01  3.775242e+01
 1.528864e+04  1.033078e+01  3.762555e+01  3.795171e+01
 1.615909e+04  1.033231e+01  3.778244e+01  3.814889e+01
 1.707910e+04  1.033377e+01  3.793765e+01  3.834397e+01
 1.805149e+04  1.033516e+01  3.809122e+01  3.853699e+01
 1.907924e+04  1.033648e+01  3.824316e+01  3.872797e+01
 2.016551e+04  1.033774e+01  3.839350e+01  3.891693e+01
 2.131362e+04  1.033894e+01  3.854227e+01  3.910390e+01
 2.252711e+04  1.034009e+01  3.868948e+01  3.928889e+01
 2.380968e+04  1.034118e+01  3.883517e+01  3.947193e+01
 2.516527e+04  1.034221e+01  3.897936e+01  3.965305e+01
 2.659804e+04  1.034320e+01  3.912206e+01  3.983226e+01
 2.811239e+04  1.034414e+01  3.926331e+01  4.000959e+01
 2.971296e+04  1.034504e+01  3.940312e+01  4.018507e+01
 3.140465e+04  1.034590e+01  3.954152e+01  4.035871e+01
 3.319266e+04  1.034671e+01  3.967852e+01  4.053055e+01
 3.508247e+04  1.034749e+01  3.981416e+01  4.070059e+01
 3.707988e+04  1.034822e+01  3.994844e+01  4.086887e+01
 3.919100e+04  1.034893e+01  4.008139e+01  4.103540e+01
