#           N         Chain          BCCA          BPCA
 1.000000e+00  4.262246e-01  0.000000e+00  0.000000e+00
 1.056935e+00  6.810522e-02  0.000000e+00  0.000000e+00
 1.117111e+00  2.468086e-01  0.000000e+00  0.000000e+00
 1.180713e+00  5.196173e-01  0.000000e+00  0.000000e+00
 1.247936e+00  7.514595e-01  0.000000e+00  0.000000e+00
 1.318987e+00  9.435044e-01  0.000000e+00  0.000000e+00
 1.394083e+00  1.096945e+00  0.000000e+00  0.000000e+00
 1.473454e+00  1.212991e+00  0.000000e+00  0.000000e+00
 1.557345e+00  1.292862e+00  0.000000e+00  0.000000e+00
 1.646012e+00  1.337785e+00  0.000000e+00  0.000000e+00
 1.739726e+00  1.348984e+00  0.000000e+00  0.000000e+00
 1.838777e+00  1.327682e+00  0.000000e+00  0.000000e+00
 1.943467e+00  1.275090e+00  0.000000e+00  0.000000e+00
 2.054117e+00  1.192407e+00  0.000000e+00  0.000000e+00
 2.171068e+00  1.080818e+00  0.000000e+00  0.000000e+00
 2.294676e+00  9.414886e-01  0.000000e+00  0.000000e+00
 2.425323e+00  7.755626e-01  0.000000e+00  0.000000e+00
 2.563407e+00  7.711879e-01  0.000000e+00  0.000000e+00
 2.709354e+00  9.696485e-01  0.000000e+00  0.000000e+00
 2.863610e+00  1.145975e+00  0.000000e+00  0.000000e+00
 3.026648e+00  1.301381e+00  0.000000e+00  0.000000e+00
 3.198969e+00  1.437071e+00  0.000000e+00  0.000000e+00
 3.381101e+00  1.554235e+00  0.000000e+00  0.000000e+00
 3.573602e+00  1.654042e+00  0.000000e+00  0.000000e+00
 3.777064e+00  1.737637e+00  0.000000e+00  0.000000e+00
 3.992109e+00  1.806133e+00  0.000000e+00  0.000000e+00
 4.219398e+00  1.860610e+00  0.000000e+00  0.000000e+00
 4.459628e+00  1.902114e+00  0.000000e+00  0.000000e+00
 4.713535e+00  1.931646e+00  0.000000e+00  0.000000e+00
 4.981898e+00  1.950171e+00  0.000000e+00  0.000000e+00
 5.265540e+00  1.958609e+00  0.000000e+00  0.000000e+00
 5.565331e+00  1.957835e+00  0.000000e+00  0.000000e+00
 5.882190e+00  1.948683e+00  0.000000e+00  0.000000e+00
 6.217090e+00  1.931940e+00  0.000000e+00  0.000000e+00
 6.571058e+00  1.908350e+00  0.000000e+00  0.000000e+00
 6.945178e+00  1.878614e+00  0.000000e+00  0.000000e+00
 7.340598e+00  1.843387e+00  0.000000e+00  0.000000e+00
 7.758532e+00  1.803287e+00  0.000000e+00  0.000000e+00
 8.200261e+00  1.758888e+00  9.615577e-02  3.509101e-02
 8.667139e+00  1.710726e+00  3.129688e-01  1.101378e-01
 9.160598e+00  1.659298e+00  5.321681e-01  1.804010e-01
 9.682153e+00  1.605065e+00  7.541864e-01  2.460145e-01
 1.023340e+01  1.548454e+00  9.794402e-01  3.071035e-01
 1.081604e+01  1.489858e+00  1.208329e+00  3.637845e-01
 1.143184e+01  1.429639e+00  1.441236e+00  4.161654e-01
 1.208271e+01  1.368130e+00  1.678527e+00  4.643459e-01
 1.277063e+01  1.305632e+00  1.920553e+00  5.084174e-01
 1.349772e+01  1.242425e+00  2.167647e+00  5.484633e-01
 1.426621e+01  1.178760e+00  2.420126e+00  5.845596e-01
 1.507845e+01  1.114865e+00  2.678293e+00  6.167748e-01
 1.593694e+01  1.050948e+00  2.942436e+00  6.451703e-01
 1.684430e+01  9.871941e-01  2.439175e+00  5.708279e-01
 1.780332e+01  9.237714e-01  2.349821e+00  4.113978e-01
 1.881694e+01  8.608289e-01  2.259827e+00  2.591968e-01
 1.988828e+01  7.984997e-01  2.169399e+00  1.140471e-01
 2.102061e+01  7.369014e-01  2.078728e+00  2.422949e-02
 2.221741e+01  6.761375e-01  1.987990e+00  1.558119e-01
 2.348235e+01  6.162985e-01  1.897347e+00  2.808790e-01
 2.481930e+01  5.574631e-01  1.806947e+00  3.996099e-01
 2.623238e+01  4.996986e-01  1.716925e+00  5.121835e-01
 2.772591e+01  4.430624e-01  1.627405e+00  6.187781e-01
 2.930447e+01  3.876027e-01  1.538499e+00  7.195717e-01
 3.097291e+01  3.333592e-01  1.450308e+00  8.147413e-01
 3.273634e+01  2.803636e-01  1.362924e+00  9.044630e-01
 3.460016e+01  2.286409e-01  1.276430e+00  9.889119e-01
 3.657011e+01  1.782098e-01  1.190898e+00  1.068262e+00
 3.865221e+01  1.290828e-01  1.106395e+00  1.142685e+00
 4.085286e+01  8.126765e-02  1.022979e+00  1.212352e+00
 4.317880e+01  3.476714e-02  9.407000e-01  1.277433e+00
 4.563716e+01  1.042007e-02  8.596029e-01  1.338094e+00
 4.823549e+01  5.429907e-02  7.797260e-01  1.394502e+00
 5.098176e+01  9.687833e-02  7.011022e-01  1.446820e+00
 5.388438e+01  1.381693e-01  6.237589e-01  1.495209e+00
 5.695227e+01  1.781860e-01  5.477191e-01  1.539829e+00
 6.019482e+01  2.169448e-01  4.730012e-01  1.580836e+00
 6.362198e+01  2.544642e-01  3.996195e-01  1.618386e+00
 6.724427e+01  2.907642e-01  3.275847e-01  1.652631e+00
 7.107280e+01  3.258665e-01  2.569041e-01  1.683721e+00
 7.511929e+01  3.597940e-01  1.875817e-01  1.711804e+00
 7.939618e+01  3.925706e-01  1.196189e-01  1.737024e+00
 8.391656e+01  4.242214e-01  5.301428e-02  1.759524e+00
 8.869432e+01  4.547718e-01  1.223577e-02  1.779444e+00
 9.374409e+01  4.842479e-01  7.613714e-02  1.796921e+00
 9.908137e+01  5.126765e-01  1.386976e-01  1.812090e+00
 1.047225e+02  5.400843e-01  1.999267e-01  1.825082e+00
 1.106848e+02  5.664984e-01  2.598355e-01  1.836027e+00
 1.169866e+02  5.919460e-01  3.184366e-01  1.845051e+00
 1.236472e+02  6.164542e-01  3.757438e-01  1.852277e+00
 1.306870e+02  6.400501e-01  4.317720e-01  1.857827e+00
 1.381276e+02  6.627605e-01  4.865372e-01  1.861820e+00
 1.459919e+02  6.846121e-01  5.400562e-01  1.864369e+00
 1.543038e+02  7.056314e-01  5.923466e-01  1.865589e+00
 1.630891e+02  7.258443e-01  6.434266e-01  1.865588e+00
 1.723745e+02  7.452766e-01  6.933152e-01  1.864475e+00
 1.821885e+02  7.639536e-01  7.420317e-01  1.862353e+00
 1.925614e+02  7.819001e-01  7.895958e-01  1.859325e+00
 2.035248e+02  7.991404e-01  8.360278e-01  1.855489e+00
 2.151123e+02  8.156985e-01  8.813479e-01  1.850942e+00
 2.273597e+02  8.315978e-01  9.255769e-01  1.845777e+00
 2.403043e+02  8.468610e-01  9.687355e-01  1.840086e+00
 2.539859e+02  8.615104e-01  1.010845e+00  1.833955e+00
 2.684465e+02  8.755679e-01  1.051926e+00  1.827472e+00
 2.837304e+02  8.890546e-01  1.091999e+00  1.820719e+00
 2.998844e+02  9.019912e-01  1.131086e+00  1.813777e+00
 3.169582e+02  9.143978e-01  1.169208e+00  1.806722e+00
 3.350041e+02  9.262938e-01  1.206385e+00  1.799632e+00
 3.540774e+02  9.376982e-01  1.242638e+00  1.792577e+00
 3.742366e+02  9.486295e-01  1.277989e+00  1.785630e+00
 3.955436e+02  9.591055e-01  1.312457e+00  1.778857e+00
 4.180637e+02  9.691434e-01  1.346064e+00  1.772323e+00
 4.418660e+02  9.787601e-01  1.378828e+00  1.766093e+00
 4.670234e+02  9.879719e-01  1.410771e+00  1.760226e+00
 4.936132e+02  9.967943e-01  1.441913e+00  1.754781e+00
 5.217169e+02  1.005243e+00  1.472271e+00  1.749813e+00
 5.514206e+02  1.013332e+00  1.501868e+00  1.745377e+00
 5.828155e+02  1.021075e+00  1.530720e+00  1.741524e+00
 6.159978e+02  1.028487e+00  1.558847e+00  1.738303e+00
 6.510694e+02  1.035581e+00  1.586269e+00  1.735762e+00
 6.881377e+02  1.042370e+00  1.613002e+00  1.733945e+00
 7.273165e+02  1.048865e+00  1.639066e+00  1.732895e+00
 7.687260e+02  1.055079e+00  1.664477e+00  1.732653e+00
 8.124930e+02  1.061023e+00  1.689255e+00  1.733258e+00
 8.587519e+02  1.066709e+00  1.713415e+00  1.734746e+00
 9.076446e+02  1.072146e+00  1.736976e+00  1.737154e+00
 9.593209e+02  1.077345e+00  1.759953e+00  1.740513e+00
 1.013939e+03  1.082316e+00  1.782363e+00  1.744856e+00
 1.071668e+03  1.087069e+00  1.804223e+00  1.750210e+00
 1.132683e+03  1.091612e+00  1.825548e+00  1.756605e+00
 1.197171e+03  1.095955e+00  1.846353e+00  1.764066e+00
 1.265332e+03  1.100105e+00  1.866656e+00  1.772617e+00
 1.337373e+03  1.104071e+00  1.886469e+00  1.782280e+00
 1.413516e+03  1.107861e+00  1.905809e+00  1.793077e+00
 1.493993e+03  1.111482e+00  1.924689e+00  1.805026e+00
 1.579053e+03  1.114941e+00  1.943125e+00  1.818147e+00
 1.668956e+03  1.118245e+00  1.961130e+00  1.832454e+00
 1.763977e+03  1.121402e+00  1.978717e+00  1.847963e+00
 1.864409e+03  1.124416e+00  1.995901e+00  1.864688e+00
 1.970558e+03  1.127295e+00  2.012695e+00  1.882640e+00
 2.082751e+03  1.130045e+00  2.029111e+00  1.901830e+00
 2.201331e+03  1.132670e+00  2.045163e+00  1.922267e+00
 2.326663e+03  1.135176e+00  2.060863e+00  1.943961e+00
 2.459130e+03  1.137569e+00  2.076223e+00  1.966917e+00
 2.599140e+03  1.139854e+00  2.091255e+00  1.991142e+00
 2.747121e+03  1.142034e+00  2.105971e+00  2.016639e+00
 2.903527e+03  1.144115e+00  2.120383e+00  2.043414e+00
 3.068838e+03  1.146102e+00  2.134502e+00  2.071468e+00
 3.243561e+03  1.147997e+00  2.148340e+00  2.100803e+00
 3.428231e+03  1.149806e+00  2.161906e+00  2.131418e+00
 3.623416e+03  1.151532e+00  2.175212e+00  2.163315e+00
 3.829714e+03  1.153179e+00  2.188268e+00  2.196491e+00
 4.047757e+03  1.154750e+00  2.201085e+00  2.230943e+00
 4.278214e+03  1.156249e+00  2.213672e+00  2.266670e+00
 4.521792e+03  1.157679e+00  2.226040e+00  2.303666e+00
 4.779239e+03  1.159043e+00  2.238198e+00  2.341928e+00
 5.051342e+03  1.160344e+00  2.250155e+00  2.381449e+00
 5.338938e+03  1.161585e+00  2.261922e+00  2.422223e+00
 5.642908e+03  1.162769e+00  2.273506e+00  2.464243e+00
 5.964185e+03  1.163897e+00  2.284917e+00  2.507503e+00
 6.303753e+03  1.164973e+00  2.296164e+00  2.551993e+00
 6.662655e+03  1.165999e+00  2.307255e+00  2.597705e+00
 7.041990e+03  1.166978e+00  2.318198e+00  2.644629e+00
 7.442922e+03  1.167911e+00  2.329002e+00  2.692755e+00
 7.866682e+03  1.168800e+00  2.339675e+00  2.742074e+00
 8.314568e+03  1.169648e+00  2.350224e+00  2.792574e+00
 8.787954e+03  1.170456e+00  2.360658e+00  2.844243e+00
 9.288292e+03  1.171226e+00  2.370983e+00  2.897070e+00
 9.817117e+03  1.171961e+00  2.381207e+00  2.951043e+00
 1.037605e+04  1.172661e+00  2.391338e+00  3.006149e+00
 1.096681e+04  1.173328e+00  2.401382e+00  3.062375e+00
 1.159120e+04  1.173964e+00  2.411347e+00  3.119708e+00
 1.225114e+04  1.174569e+00  2.421238e+00  3.178134e+00
 1.294865e+04  1.175147e+00  2.431063e+00  3.237639e+00
 1.368587e+04  1.175697e+00  2.440829e+00  3.298209e+00
 1.446507e+04  1.176221e+00  2.450541e+00  3.359829e+00
 1.528864e+04  1.176721e+00  2.460205e+00  3.422486e+00
 1.615909e+04  1.177197e+00  2.469828e+00  3.486164e+00
 1.707910e+04  1.177650e+00  2.479416e+00  3.550848e+00
 1.805149e+04  1.178082e+00  2.488975e+00  3.616522e+00
 1.907924e+04  1.178494e+00  2.498509e+00  3.683172e+00
 2.016551e+04  1.178886e+00  2.508025e+00  3.750782e+00
 2.131362e+04  1.179259e+00  2.517529e+00  3.819336e+00
 2.252711e+04  1.179615e+00  2.527024e+00  3.888818e+00
 2.380968e+04  1.179954e+00  2.536517e+00  3.959213e+00
 2.516527e+04  1.180277e+00  2.546013e+00  4.030505e+00
 2.659804e+04  1.180584e+00  2.555516e+00  4.102678e+00
 2.811239e+04  1.180877e+00  2.565031e+00  4.175716e+00
 2.971296e+04  1.181156e+00  2.574564e+00  4.249602e+00
 3.140465e+04  1.181421e+00  2.584118e+00  4.324321e+00
 3.319266e+04  1.181674e+00  2.593698e+00  4.399857e+00
 3.508247e+04  1.181915e+00  2.603309e+00  4.476193e+00
 3.707988e+04  1.182145e+00  2.612954e+00  4.553314e+00
 3.919100e+04  1.182363e+00  2.622639e+00  4.631203e+00
