#           N         Chain          BCCA          BPCA
 1.000000e+00  4.262246e-01  0.000000e+00  0.000000e+00
 1.056935e+00  6.810522e-02  0.000000e+00  0.000000e+00
 1.117111e+00  2.468086e-01  0.000000e+00  0.000000e+00
 1.180713e+00  5.196173e-01  0.000000e+00  0.000000e+00
 1.247936e+00  7.514595e-01  0.000000e+00  0.000000e+00
 1.318987e+00  9.435044e-01  0.000000e+00  0.000000e+00
 1.394083e+00  1.096945e+00  0.000000e+00  0.000000e+00
 1.473454e+00  1.212991e+00  0.000000e+00  0.000000e+00
 1.557345e+00  1.292862e+00  0.000000e+00  0.000000e+00
 1.646012e+00  1.337785e+00  0.000000e+00  0.000000e+00
 1.739726e+00  1.348984e+00  0.000000e+00  0.000000e+00
 1.838777e+00  1.327682e+00  0.000000e+00  0.000000e+00
 1.943467e+00  1.275090e+00  0.000000e+00  0.000000e+00
 2.054117e+00  1.192407e+00  0.000000e+00  0.000000e+00
 2.171068e+00  1.080818e+00  0.000000e+00  0.000000e+00
 2.294676e+00  9.414886e-01  0.000000e+00  0.000000e+00
 2.425323e+00  7.755626e-01  0.000000e+00  0.000000e+00
 2.563407e+00  7.389198e-01  0.000000e+00  0.000000e+00
 2.709354e+00  8.610330e-01  0.000000e+00  0.000000e+00
 2.863610e+00  9.549913e-01  0.000000e+00  0.000000e+00
 3.026648e+00  1.023118e+00  0.000000e+00  0.000000e+00
 3.198969e+00  1.067737e+00  0.000000e+00  0.000000e+00
 3.381101e+00  1.091139e+00  0.000000e+00  0.000000e+00
 3.573602e+00  1.095550e+00  0.000000e+00  0.000000e+00
 3.777064e+00  1.083107e+00  0.000000e+00  0.000000e+00
 3.992109e+00  1.055839e+00  0.000000e+00  0.000000e+00
 4.219398e+00  1.015654e+00  0.000000e+00  0.000000e+00
 4.459628e+00  9.643317e-01  0.000000e+00  0.000000e+00
 4.713535e+00  9.035188e-01  0.000000e+00  0.000000e+00
 4.981898e+00  8.347262e-01  0.000000e+00  0.000000e+00
 5.265540e+00  7.593315e-01  0.000000e+00  0.000000e+00
 5.565331e+00  6.785826e-01  0.000000e+00  0.000000e+00
 5.882190e+00  5.936024e-01  0.000000e+00  0.000000e+00
 6.217090e+00  5.053957e-01  0.000000e+00  0.000000e+00
 6.571058e+00  4.148554e-01  0.000000e+00  0.000000e+00
 6.945178e+00  3.227708e-01  0.000000e+00  0.000000e+00
 7.340598e+00  2.298349e-01  0.000000e+00  0.000000e+00
 7.758532e+00  1.366523e-01  0.000000e+00  0.000000e+00
 8.200261e+00  4.374697e-02  9.106144e-02  7.474563e-02
 8.667139e+00  4.843078e-02  2.965352e-01  2.390159e-01
 9.160598e+00  1.394969e-01  5.045117e-01  3.989840e-01
 9.682153e+00  2.291270e-01  7.154460e-01  5.546797e-01
 1.023340e+01  3.170504e-01  9.297738e-01  7.061308e-01
 1.081604e+01  4.030439e-01  1.147912e+00  8.533631e-01
 1.143184e+01  4.869268e-01  1.370257e+00  9.964002e-01
 1.208271e+01  5.685558e-01  1.597190e+00  1.135263e+00
 1.277063e+01  6.478206e-01  1.829069e+00  1.269972e+00
 1.349772e+01  7.246399e-01  2.066236e+00  1.400542e+00
 1.426621e+01  7.989575e-01  2.309017e+00  1.526988e+00
 1.507845e+01  8.707393e-01  2.557718e+00  1.649323e+00
 1.593694e+01  9.399699e-01  2.812630e+00  1.767555e+00
 1.684430e+01  1.006650e+00  2.301417e+00  1.781528e+00
 1.780332e+01  1.070795e+00  2.203893e+00  1.708815e+00
 1.881694e+01  1.132432e+00  2.106035e+00  1.642752e+00
 1.988828e+01  1.191596e+00  2.008044e+00  1.583155e+00
 2.102061e+01  1.248332e+00  1.910110e+00  1.529840e+00
 2.221741e+01  1.302693e+00  1.812403e+00  1.482625e+00
 2.348235e+01  1.354734e+00  1.715079e+00  1.441331e+00
 2.481930e+01  1.404517e+00  1.618282e+00  1.405779e+00
 2.623238e+01  1.452107e+00  1.522140e+00  1.375793e+00
 2.772591e+01  1.497570e+00  1.426771e+00  1.351198e+00
 2.930447e+01  1.540976e+00  1.332279e+00  1.331823e+00
 3.097291e+01  1.582393e+00  1.238758e+00  1.317495e+00
 3.273634e+01  1.621893e+00  1.146294e+00  1.308045e+00
 3.460016e+01  1.659546e+00  1.054961e+00  1.303307e+00
 3.657011e+01  1.695422e+00  9.648237e-01  1.303114e+00
 3.865221e+01  1.729590e+00  8.759411e-01  1.307303e+00
 4.085286e+01  1.762118e+00  7.883631e-01  1.315711e+00
 4.317880e+01  1.793075e+00  7.021328e-01  1.328180e+00
 4.563716e+01  1.822525e+00  6.172870e-01  1.344549e+00
 4.823549e+01  1.850533e+00  5.338564e-01  1.364664e+00
 5.098176e+01  1.877161e+00  4.518664e-01  1.388369e+00
 5.388438e+01  1.902470e+00  3.713370e-01  1.415512e+00
 5.695227e+01  1.926520e+00  2.922840e-01  1.445942e+00
 6.019482e+01  1.949366e+00  2.147186e-01  1.479512e+00
 6.362198e+01  1.971065e+00  1.386482e-01  1.516074e+00
 6.724427e+01  1.991669e+00  6.407694e-02  1.555485e+00
 7.107280e+01  2.011229e+00  8.994669e-03  1.597600e+00
 7.511929e+01  2.029795e+00  8.056882e-02  1.642281e+00
 7.939618e+01  2.047414e+00  1.506504e-01  1.689390e+00
 8.391656e+01  2.064131e+00  2.192467e-01  1.738788e+00
 8.869432e+01  2.079991e+00  2.863673e-01  1.790344e+00
 9.374409e+01  2.095034e+00  3.520234e-01  1.843925e+00
 9.908137e+01  2.109302e+00  4.162284e-01  1.899402e+00
 1.047225e+02  2.122831e+00  4.789969e-01  1.956646e+00
 1.106848e+02  2.135658e+00  5.403450e-01  2.015534e+00
 1.169866e+02  2.147819e+00  6.002900e-01  2.075941e+00
 1.236472e+02  2.159347e+00  6.588505e-01  2.137748e+00
 1.306870e+02  2.170274e+00  7.160457e-01  2.200836e+00
 1.381276e+02  2.180629e+00  7.718958e-01  2.265088e+00
 1.459919e+02  2.190443e+00  8.264218e-01  2.330391e+00
 1.543038e+02  2.199742e+00  8.796451e-01  2.396634e+00
 1.630891e+02  2.208552e+00  9.315878e-01  2.463707e+00
 1.723745e+02  2.216900e+00  9.822723e-01  2.531503e+00
 1.821885e+02  2.224807e+00  1.031721e+00  2.599917e+00
 1.925614e+02  2.232298e+00  1.079958e+00  2.668848e+00
 2.035248e+02  2.239393e+00  1.127005e+00  2.738196e+00
 2.151123e+02  2.246114e+00  1.172887e+00  2.807862e+00
 2.273597e+02  2.252479e+00  1.217627e+00  2.877752e+00
 2.403043e+02  2.258506e+00  1.261247e+00  2.947773e+00
 2.539859e+02  2.264215e+00  1.303773e+00  3.017835e+00
 2.684465e+02  2.269620e+00  1.345227e+00  3.087848e+00
 2.837304e+02  2.274739e+00  1.385632e+00  3.157728e+00
 2.998844e+02  2.279585e+00  1.425012e+00  3.227391e+00
 3.169582e+02  2.284174e+00  1.463390e+00  3.296756e+00
 3.350041e+02  2.288519e+00  1.500789e+00  3.365743e+00
 3.540774e+02  2.292632e+00  1.537232e+00  3.434277e+00
 3.742366e+02  2.296526e+00  1.572741e+00  3.502283e+00
 3.955436e+02  2.300213e+00  1.607339e+00  3.569689e+00
 4.180637e+02  2.303703e+00  1.641047e+00  3.636426e+00
 4.418660e+02  2.307006e+00  1.673888e+00  3.702426e+00
 4.670234e+02  2.310134e+00  1.705883e+00  3.767623e+00
 4.936132e+02  2.313094e+00  1.737053e+00  3.831956e+00
 5.217169e+02  2.315896e+00  1.767419e+00  3.895364e+00
 5.514206e+02  2.318548e+00  1.797002e+00  3.957787e+00
 5.828155e+02  2.321059e+00  1.825822e+00  4.019171e+00
 6.159978e+02  2.323435e+00  1.853900e+00  4.079459e+00
 6.510694e+02  2.325684e+00  1.881254e+00  4.138602e+00
 6.881377e+02  2.327812e+00  1.907905e+00  4.196548e+00
 7.273165e+02  2.329827e+00  1.933871e+00  4.253250e+00
 7.687260e+02  2.331734e+00  1.959171e+00  4.308663e+00
 8.124930e+02  2.333538e+00  1.983824e+00  4.362742e+00
 8.587519e+02  2.335246e+00  2.007848e+00  4.415447e+00
 9.076446e+02  2.336862e+00  2.031260e+00  4.466736e+00
 9.593209e+02  2.338392e+00  2.054079e+00  4.516574e+00
 1.013939e+03  2.339839e+00  2.076321e+00  4.564924e+00
 1.071668e+03  2.341209e+00  2.098003e+00  4.611752e+00
 1.132683e+03  2.342506e+00  2.119141e+00  4.657026e+00
 1.197171e+03  2.343733e+00  2.139753e+00  4.700716e+00
 1.265332e+03  2.344894e+00  2.159853e+00  4.742795e+00
 1.337373e+03  2.345992e+00  2.179458e+00  4.783234e+00
 1.413516e+03  2.347032e+00  2.198583e+00  4.822011e+00
 1.493993e+03  2.348016e+00  2.217243e+00  4.859101e+00
 1.579053e+03  2.348947e+00  2.235452e+00  4.894483e+00
 1.668956e+03  2.349828e+00  2.253225e+00  4.928139e+00
 1.763977e+03  2.350662e+00  2.270577e+00  4.960048e+00
 1.864409e+03  2.351451e+00  2.287520e+00  4.990196e+00
 1.970558e+03  2.352198e+00  2.304070e+00  5.018567e+00
 2.082751e+03  2.352905e+00  2.320238e+00  5.045147e+00
 2.201331e+03  2.353573e+00  2.336039e+00  5.069925e+00
 2.326663e+03  2.354206e+00  2.351485e+00  5.092890e+00
 2.459130e+03  2.354805e+00  2.366588e+00  5.114034e+00
 2.599140e+03  2.355371e+00  2.381361e+00  5.133347e+00
 2.747121e+03  2.355908e+00  2.395816e+00  5.150825e+00
 2.903527e+03  2.356415e+00  2.409965e+00  5.166461e+00
 3.068838e+03  2.356895e+00  2.423819e+00  5.180252e+00
 3.243561e+03  2.357350e+00  2.437390e+00  5.192196e+00
 3.428231e+03  2.357780e+00  2.450689e+00  5.202290e+00
 3.623416e+03  2.358187e+00  2.463726e+00  5.210535e+00
 3.829714e+03  2.358572e+00  2.476513e+00  5.216931e+00
 4.047757e+03  2.358936e+00  2.489059e+00  5.221480e+00
 4.278214e+03  2.359281e+00  2.501376e+00  5.224186e+00
 4.521792e+03  2.359607e+00  2.513472e+00  5.225052e+00
 4.779239e+03  2.359916e+00  2.525358e+00  5.224082e+00
 5.051342e+03  2.360208e+00  2.537044e+00  5.221284e+00
 5.338938e+03  2.360485e+00  2.548538e+00  5.216664e+00
 5.642908e+03  2.360747e+00  2.559850e+00  5.210229e+00
 5.964185e+03  2.360994e+00  2.570989e+00  5.201988e+00
 6.303753e+03  2.361229e+00  2.581964e+00  5.191950e+00
 6.662655e+03  2.361451e+00  2.592783e+00  5.180125e+00
 7.041990e+03  2.361661e+00  2.603455e+00  5.166525e+00
 7.442922e+03  2.361859e+00  2.613988e+00  5.151161e+00
 7.866682e+03  2.362047e+00  2.624391e+00  5.134044e+00
 8.314568e+03  2.362225e+00  2.634670e+00  5.115188e+00
 8.787954e+03  2.362394e+00  2.644834e+00  5.094607e+00
 9.288292e+03  2.362553e+00  2.654891e+00  5.072314e+00
 9.817117e+03  2.362704e+00  2.664848e+00  5.048324e+00
 1.037605e+04  2.362847e+00  2.674711e+00  5.022652e+00
 1.096681e+04  2.362983e+00  2.684489e+00  4.995315e+00
 1.159120e+04  2.363111e+00  2.694188e+00  4.966327e+00
 1.225114e+04  2.363232e+00  2.703815e+00  4.935706e+00
 1.294865e+04  2.363347e+00  2.713377e+00  4.903469e+00
 1.368587e+04  2.363455e+00  2.722880e+00  4.869633e+00
 1.446507e+04  2.363558e+00  2.732330e+00  4.834216e+00
 1.528864e+04  2.363655e+00  2.741734e+00  4.797236e+00
 1.615909e+04  2.363748e+00  2.751097e+00  4.758712e+00
 1.707910e+04  2.363835e+00  2.760426e+00  4.718662e+00
 1.805149e+04  2.363917e+00  2.769727e+00  4.677106e+00
 1.907924e+04  2.363996e+00  2.779005e+00  4.634062e+00
 2.016551e+04  2.364070e+00  2.788266e+00  4.589551e+00
 2.131362e+04  2.364140e+00  2.797514e+00  4.543591e+00
 2.252711e+04  2.364206e+00  2.806757e+00  4.496204e+00
 2.380968e+04  2.364269e+00  2.815997e+00  4.447408e+00
 2.516527e+04  2.364329e+00  2.825242e+00  4.397225e+00
 2.659804e+04  2.364385e+00  2.834495e+00  4.345674e+00
 2.811239e+04  2.364439e+00  2.843761e+00  4.292777e+00
 2.971296e+04  2.364490e+00  2.853046e+00  4.238553e+00
 3.140465e+04  2.364538e+00  2.862353e+00  4.183024e+00
 3.319266e+04  2.364583e+00  2.871688e+00  4.126210e+00
 3.508247e+04  2.364626e+00  2.881054e+00  4.068132e+00
 3.707988e+04  2.364667e+00  2.890456e+00  4.008811e+00
 3.919100e+04  2.364706e+00  2.899898e+00  3.948268e+00
