# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 1.000000e+00  9.957378e-01  5.555556e-01  4.589280e-01  8.062178e-01 
 1.056935e+00  9.911811e-01  5.871859e-01  4.788204e-01  8.056769e-01 
 1.117111e+00  9.865809e-01  6.206170e-01  4.991898e-01  8.051363e-01 
 1.180713e+00  9.819382e-01  6.559516e-01  5.200072e-01  8.045961e-01 
 1.247936e+00  9.772542e-01  6.932979e-01  5.412385e-01  8.040562e-01 
 1.318987e+00  9.725299e-01  7.327705e-01  5.628457e-01  8.035167e-01 
 1.394083e+00  9.677665e-01  7.744905e-01  5.847857e-01  8.029776e-01 
 1.473454e+00  9.629652e-01  8.185857e-01  6.070113e-01  8.024388e-01 
 1.557345e+00  9.581269e-01  8.651915e-01  6.294704e-01  8.019004e-01 
 1.646012e+00  9.532529e-01  9.144508e-01  6.521072e-01  8.013624e-01 
 1.739726e+00  9.483442e-01  9.665147e-01  6.748614e-01  8.008247e-01 
 1.838777e+00  9.434019e-01  1.000000e+00  6.976695e-01  8.002874e-01 
 1.943467e+00  9.384270e-01  1.000000e+00  7.204646e-01  7.997504e-01 
 2.054117e+00  9.334208e-01  1.000000e+00  7.431770e-01  7.992138e-01 
 2.171068e+00  9.283842e-01  1.000000e+00  7.657349e-01  7.986776e-01 
 2.294676e+00  9.233184e-01  1.000000e+00  7.880650e-01  7.981417e-01 
 2.425323e+00  9.182243e-01  1.000000e+00  8.100931e-01  7.976062e-01 
 2.563407e+00  9.148009e-01  1.000000e+00  8.317447e-01  7.970710e-01 
 2.709354e+00  9.133950e-01  1.000000e+00  8.529461e-01  7.965362e-01 
 2.863610e+00  9.119500e-01  1.000000e+00  8.736248e-01  7.960018e-01 
 3.026648e+00  9.104704e-01  1.000000e+00  8.937105e-01  7.954677e-01 
 3.198969e+00  9.089607e-01  1.000000e+00  9.131356e-01  7.949340e-01 
 3.381101e+00  9.074254e-01  1.000000e+00  9.318363e-01  7.944006e-01 
 3.573602e+00  9.058689e-01  1.000000e+00  9.497528e-01  7.938676e-01 
 3.777064e+00  9.042955e-01  1.000000e+00  9.668301e-01  7.933349e-01 
 3.992109e+00  9.027094e-01  1.000000e+00  9.830187e-01  7.928026e-01 
 4.219398e+00  9.011146e-01  1.000000e+00  9.982746e-01  7.922707e-01 
 4.459628e+00  8.995151e-01  1.000000e+00  1.000000e+00  7.917391e-01 
 4.713535e+00  8.979145e-01  1.000000e+00  1.000000e+00  7.912079e-01 
 4.981898e+00  8.963163e-01  1.000000e+00  1.000000e+00  7.906770e-01 
 5.265540e+00  8.947239e-01  1.000000e+00  1.000000e+00  7.901465e-01 
 5.565331e+00  8.931403e-01  1.000000e+00  1.000000e+00  7.896164e-01 
 5.882190e+00  8.915683e-01  1.000000e+00  1.000000e+00  7.890866e-01 
 6.217090e+00  8.900108e-01  1.000000e+00  1.000000e+00  7.885571e-01 
 6.571058e+00  8.884700e-01  1.000000e+00  1.000000e+00  7.880280e-01 
 6.945178e+00  8.869481e-01  1.000000e+00  1.000000e+00  7.874993e-01 
 7.340598e+00  8.854473e-01  1.000000e+00  1.000000e+00  7.869709e-01 
 7.758532e+00  8.839693e-01  1.000000e+00  1.000000e+00  7.864429e-01 
 8.200261e+00  8.825158e-01  1.000000e+00  1.000000e+00  7.859152e-01 
 8.667139e+00  8.810880e-01  1.000000e+00  1.000000e+00  7.853879e-01 
 9.160598e+00  8.796873e-01  1.000000e+00  1.000000e+00  7.848609e-01 
 9.682153e+00  8.783148e-01  1.000000e+00  1.000000e+00  7.843343e-01 
 1.023340e+01  8.769714e-01  1.000000e+00  1.000000e+00  7.838081e-01 
 1.081604e+01  8.756577e-01  1.000000e+00  1.000000e+00  7.832821e-01 
 1.143184e+01  8.743745e-01  1.000000e+00  1.000000e+00  7.827566e-01 
 1.208271e+01  8.731221e-01  1.000000e+00  1.000000e+00  7.822314e-01 
 1.277063e+01  8.719011e-01  1.000000e+00  1.000000e+00  7.817066e-01 
 1.349772e+01  8.707115e-01  1.000000e+00  1.000000e+00  7.811821e-01 
 1.426621e+01  8.695535e-01  1.000000e+00  1.000000e+00  7.806579e-01 
 1.507845e+01  8.684272e-01  1.000000e+00  1.000000e+00  7.801341e-01 
 1.593694e+01  8.673325e-01  1.000000e+00  1.000000e+00  7.796107e-01 
 1.684430e+01  8.662693e-01  1.000000e+00  1.000000e+00  7.790876e-01 
 1.780332e+01  8.652373e-01  1.000000e+00  1.000000e+00  7.785649e-01 
 1.881694e+01  8.642364e-01  1.000000e+00  1.000000e+00  7.780425e-01 
 1.988828e+01  8.632661e-01  1.000000e+00  1.000000e+00  7.775204e-01 
 2.102061e+01  8.623261e-01  1.000000e+00  1.000000e+00  7.769988e-01 
 2.221741e+01  8.614159e-01  1.000000e+00  1.000000e+00  7.764774e-01 
 2.348235e+01  8.605351e-01  1.000000e+00  1.000000e+00  7.759564e-01 
 2.481930e+01  8.596832e-01  1.000000e+00  1.000000e+00  7.754358e-01 
 2.623238e+01  8.588596e-01  1.000000e+00  1.000000e+00  7.749155e-01 
 2.772591e+01  8.580638e-01  1.000000e+00  1.000000e+00  7.743956e-01 
 2.930447e+01  8.572952e-01  1.000000e+00  1.000000e+00  7.738760e-01 
 3.097291e+01  8.565531e-01  1.000000e+00  1.000000e+00  7.733567e-01 
 3.273634e+01  8.558370e-01  1.000000e+00  1.000000e+00  7.728379e-01 
 3.460016e+01  8.551463e-01  1.000000e+00  1.000000e+00  7.723193e-01 
 3.657011e+01  8.544802e-01  1.000000e+00  1.000000e+00  7.718011e-01 
 3.865221e+01  8.538382e-01  1.000000e+00  1.000000e+00  7.712833e-01 
