#           N         Chain          BCCA          BPCA
 1.000000e+00  9.957378e-01  9.957378e-01  9.957378e-01
 1.056935e+00  9.911811e-01  9.911811e-01  9.911811e-01
 1.117111e+00  9.865809e-01  9.865809e-01  9.865809e-01
 1.180713e+00  9.819382e-01  9.819382e-01  9.819382e-01
 1.247936e+00  9.772542e-01  9.772542e-01  9.772542e-01
 1.318987e+00  9.725299e-01  9.725299e-01  9.725299e-01
 1.394083e+00  9.677665e-01  9.677665e-01  9.677665e-01
 1.473454e+00  9.629652e-01  9.629652e-01  9.629652e-01
 1.557345e+00  9.581269e-01  9.581269e-01  9.581269e-01
 1.646012e+00  9.532529e-01  9.532529e-01  9.532529e-01
 1.739726e+00  9.483442e-01  9.483442e-01  9.483442e-01
 1.838777e+00  9.434019e-01  9.434019e-01  9.434019e-01
 1.943467e+00  9.384270e-01  9.384270e-01  9.384270e-01
 2.054117e+00  9.334208e-01  9.334208e-01  9.334208e-01
 2.171068e+00  9.283842e-01  9.283842e-01  9.283842e-01
 2.294676e+00  9.233184e-01  9.233184e-01  9.233184e-01
 2.425323e+00  9.182243e-01  9.182243e-01  9.182243e-01
 2.563407e+00  9.147577e-01  9.131031e-01  9.131031e-01
 2.709354e+00  9.132007e-01  9.079558e-01  9.079558e-01
 2.863610e+00  9.115256e-01  9.027834e-01  9.027834e-01
 3.026648e+00  9.097347e-01  8.975869e-01  8.975869e-01
 3.198969e+00  9.078312e-01  8.923675e-01  8.923675e-01
 3.381101e+00  9.058191e-01  8.871261e-01  8.871261e-01
 3.573602e+00  9.037033e-01  8.818637e-01  8.818637e-01
 3.777064e+00  9.014894e-01  8.765813e-01  8.765813e-01
 3.992109e+00  8.991834e-01  8.712799e-01  8.712799e-01
 4.219398e+00  8.967922e-01  8.659605e-01  8.659605e-01
 4.459628e+00  8.943226e-01  8.606242e-01  8.606242e-01
 4.713535e+00  8.917823e-01  8.552717e-01  8.552717e-01
 4.981898e+00  8.891786e-01  8.499042e-01  8.499042e-01
 5.265540e+00  8.865194e-01  8.445225e-01  8.445225e-01
 5.565331e+00  8.838124e-01  8.391276e-01  8.391276e-01
 5.882190e+00  8.810654e-01  8.337204e-01  8.337204e-01
 6.217090e+00  8.782860e-01  8.283019e-01  8.283019e-01
 6.571058e+00  8.754817e-01  8.228729e-01  8.228729e-01
 6.945178e+00  8.726596e-01  8.174343e-01  8.174343e-01
 7.340598e+00  8.698268e-01  8.119871e-01  8.119871e-01
 7.758532e+00  8.669901e-01  8.065321e-01  8.065321e-01
 8.200261e+00  8.641556e-01  8.015694e-01  8.014162e-01
 8.667139e+00  8.613295e-01  7.971519e-01  7.966394e-01
 9.160598e+00  8.585173e-01  7.926390e-01  7.917420e-01
 9.682153e+00  8.557243e-01  7.880352e-01  7.867255e-01
 1.023340e+01  8.529554e-01  7.833450e-01  7.815919e-01
 1.081604e+01  8.502149e-01  7.785734e-01  7.763431e-01
 1.143184e+01  8.475071e-01  7.737250e-01  7.709814e-01
 1.208271e+01  8.448355e-01  7.688049e-01  7.655089e-01
 1.277063e+01  8.422035e-01  7.638180e-01  7.599283e-01
 1.349772e+01  8.396141e-01  7.587693e-01  7.542423e-01
 1.426621e+01  8.370699e-01  7.536637e-01  7.484535e-01
 1.507845e+01  8.345732e-01  7.485061e-01  7.425650e-01
 1.593694e+01  8.321259e-01  7.433015e-01  7.365798e-01
 1.684430e+01  8.297297e-01  7.380547e-01  7.305012e-01
 1.780332e+01  8.273861e-01  7.327706e-01  7.243324e-01
 1.881694e+01  8.250962e-01  7.274537e-01  7.180769e-01
 1.988828e+01  8.228608e-01  7.221088e-01  7.117383e-01
 2.102061e+01  8.206806e-01  7.167404e-01  7.053202e-01
 2.221741e+01  8.185561e-01  7.113527e-01  6.988262e-01
 2.348235e+01  8.164875e-01  7.059502e-01  6.922603e-01
 2.481930e+01  8.144750e-01  7.005369e-01  6.856261e-01
 2.623238e+01  8.125184e-01  6.951169e-01  6.789278e-01
 2.772591e+01  8.106176e-01  6.896940e-01  6.721692e-01
 2.930447e+01  8.087721e-01  6.842720e-01  6.653543e-01
 3.097291e+01  8.069815e-01  6.788544e-01  6.584872e-01
 3.273634e+01  8.052453e-01  6.734447e-01  6.515720e-01
 3.460016e+01  8.035627e-01  6.680461e-01  6.446126e-01
 3.657011e+01  8.019330e-01  6.626617e-01  6.376133e-01
