#           N         Chain          BCCA          BPCA
 1.000000e+00  9.957378e-01  9.957378e-01  9.957378e-01
 1.056935e+00  9.911811e-01  9.911811e-01  9.911811e-01
 1.117111e+00  9.865809e-01  9.865809e-01  9.865809e-01
 1.180713e+00  9.819382e-01  9.819382e-01  9.819382e-01
 1.247936e+00  9.772542e-01  9.772542e-01  9.772542e-01
 1.318987e+00  9.725299e-01  9.725299e-01  9.725299e-01
 1.394083e+00  9.677665e-01  9.677665e-01  9.677665e-01
 1.473454e+00  9.629652e-01  9.629652e-01  9.629652e-01
 1.557345e+00  9.581269e-01  9.581269e-01  9.581269e-01
 1.646012e+00  9.532529e-01  9.532529e-01  9.532529e-01
 1.739726e+00  9.483442e-01  9.483442e-01  9.483442e-01
 1.838777e+00  9.434019e-01  9.434019e-01  9.434019e-01
 1.943467e+00  9.384270e-01  9.384270e-01  9.384270e-01
 2.054117e+00  9.334208e-01  9.334208e-01  9.334208e-01
 2.171068e+00  9.283842e-01  9.283842e-01  9.283842e-01
 2.294676e+00  9.233184e-01  9.233184e-01  9.233184e-01
 2.425323e+00  9.182243e-01  9.182243e-01  9.182243e-01
 2.563407e+00  9.148009e-01  9.131031e-01  9.131031e-01
 2.709354e+00  9.133950e-01  9.079558e-01  9.079558e-01
 2.863610e+00  9.119500e-01  9.027834e-01  9.027834e-01
 3.026648e+00  9.104704e-01  8.975869e-01  8.975869e-01
 3.198969e+00  9.089607e-01  8.923675e-01  8.923675e-01
 3.381101e+00  9.074254e-01  8.871261e-01  8.871261e-01
 3.573602e+00  9.058689e-01  8.818637e-01  8.818637e-01
 3.777064e+00  9.042955e-01  8.765813e-01  8.765813e-01
 3.992109e+00  9.027094e-01  8.712799e-01  8.712799e-01
 4.219398e+00  9.011146e-01  8.659605e-01  8.659605e-01
 4.459628e+00  8.995151e-01  8.606242e-01  8.606242e-01
 4.713535e+00  8.979145e-01  8.552717e-01  8.552717e-01
 4.981898e+00  8.963163e-01  8.499042e-01  8.499042e-01
 5.265540e+00  8.947239e-01  8.445225e-01  8.445225e-01
 5.565331e+00  8.931403e-01  8.391276e-01  8.391276e-01
 5.882190e+00  8.915683e-01  8.337204e-01  8.337204e-01
 6.217090e+00  8.900108e-01  8.283019e-01  8.283019e-01
 6.571058e+00  8.884700e-01  8.228729e-01  8.228729e-01
 6.945178e+00  8.869481e-01  8.174343e-01  8.174343e-01
 7.340598e+00  8.854473e-01  8.119871e-01  8.119871e-01
 7.758532e+00  8.839693e-01  8.065321e-01  8.065321e-01
 8.200261e+00  8.825158e-01  8.018405e-01  8.013513e-01
 8.667139e+00  8.810880e-01  7.980922e-01  7.964785e-01
 9.160598e+00  8.796873e-01  7.943338e-01  7.915544e-01
 9.682153e+00  8.783148e-01  7.905692e-01  7.865818e-01
 1.023340e+01  8.769714e-01  7.868019e-01  7.815632e-01
 1.081604e+01  8.756577e-01  7.830352e-01  7.765011e-01
 1.143184e+01  8.743745e-01  7.792724e-01  7.713978e-01
 1.208271e+01  8.731221e-01  7.755163e-01  7.662556e-01
 1.277063e+01  8.719011e-01  7.717697e-01  7.610766e-01
 1.349772e+01  8.707115e-01  7.680350e-01  7.558630e-01
 1.426621e+01  8.695535e-01  7.643146e-01  7.506166e-01
 1.507845e+01  8.684272e-01  7.606107e-01  7.453396e-01
 1.593694e+01  8.673325e-01  7.569252e-01  7.400336e-01
 1.684430e+01  8.662693e-01  7.532598e-01  7.347004e-01
 1.780332e+01  8.652373e-01  7.496162e-01  7.293418e-01
 1.881694e+01  8.642364e-01  7.459958e-01  7.239594e-01
 1.988828e+01  8.632661e-01  7.424001e-01  7.185547e-01
 2.102061e+01  8.623261e-01  7.388301e-01  7.131292e-01
 2.221741e+01  8.614159e-01  7.352869e-01  7.076844e-01
 2.348235e+01  8.605351e-01  7.317716e-01  7.022217e-01
 2.481930e+01  8.596832e-01  7.282848e-01  6.967425e-01
 2.623238e+01  8.588596e-01  7.248273e-01  6.912480e-01
 2.772591e+01  8.580638e-01  7.213998e-01  6.857396e-01
 2.930447e+01  8.572952e-01  7.180027e-01  6.802184e-01
 3.097291e+01  8.565531e-01  7.146366e-01  6.746858e-01
 3.273634e+01  8.558370e-01  7.113017e-01  6.691427e-01
 3.460016e+01  8.551463e-01  7.079985e-01  6.635905e-01
 3.657011e+01  8.544802e-01  7.047270e-01  6.580301e-01
