#           N         Chain          BCCA          BPCA
 1.000000e+00  9.957378e-01  9.957378e-01  9.957378e-01
 1.056935e+00  9.911811e-01  9.911811e-01  9.911811e-01
 1.117111e+00  9.865809e-01  9.865809e-01  9.865809e-01
 1.180713e+00  9.819382e-01  9.819382e-01  9.819382e-01
 1.247936e+00  9.772542e-01  9.772542e-01  9.772542e-01
 1.318987e+00  9.725299e-01  9.725299e-01  9.725299e-01
 1.394083e+00  9.677665e-01  9.677665e-01  9.677665e-01
 1.473454e+00  9.629652e-01  9.629652e-01  9.629652e-01
 1.557345e+00  9.581269e-01  9.581269e-01  9.581269e-01
 1.646012e+00  9.532529e-01  9.532529e-01  9.532529e-01
 1.739726e+00  9.483442e-01  9.483442e-01  9.483442e-01
 1.838777e+00  9.434019e-01  9.434019e-01  9.434019e-01
 1.943467e+00  9.384270e-01  9.384270e-01  9.384270e-01
 2.054117e+00  9.334208e-01  9.334208e-01  9.334208e-01
 2.171068e+00  9.283842e-01  9.283842e-01  9.283842e-01
 2.294676e+00  9.233184e-01  9.233184e-01  9.233184e-01
 2.425323e+00  9.182243e-01  9.182243e-01  9.182243e-01
 2.563407e+00  9.145080e-01  9.131031e-01  9.131031e-01
 2.709354e+00  9.124124e-01  9.079558e-01  9.079558e-01
 2.863610e+00  9.102280e-01  9.027834e-01  9.027834e-01
 3.026648e+00  9.079694e-01  8.975869e-01  8.975869e-01
 3.198969e+00  9.056512e-01  8.923675e-01  8.923675e-01
 3.381101e+00  9.032875e-01  8.871261e-01  8.871261e-01
 3.573602e+00  9.008920e-01  8.818637e-01  8.818637e-01
 3.777064e+00  8.984777e-01  8.765813e-01  8.765813e-01
 3.992109e+00  8.960565e-01  8.712799e-01  8.712799e-01
 4.219398e+00  8.936396e-01  8.659605e-01  8.659605e-01
 4.459628e+00  8.912370e-01  8.606242e-01  8.606242e-01
 4.713535e+00  8.888577e-01  8.552717e-01  8.552717e-01
 4.981898e+00  8.865096e-01  8.499042e-01  8.499042e-01
 5.265540e+00  8.841998e-01  8.445225e-01  8.445225e-01
 5.565331e+00  8.819341e-01  8.391276e-01  8.391276e-01
 5.882190e+00  8.797178e-01  8.337204e-01  8.337204e-01
 6.217090e+00  8.775550e-01  8.283019e-01  8.283019e-01
 6.571058e+00  8.754492e-01  8.228729e-01  8.228729e-01
 6.945178e+00  8.734031e-01  8.174343e-01  8.174343e-01
 7.340598e+00  8.714188e-01  8.119871e-01  8.119871e-01
 7.758532e+00  8.694978e-01  8.065321e-01  8.065321e-01
 8.200261e+00  8.676410e-01  8.017996e-01  8.016689e-01
 8.667139e+00  8.658490e-01  7.979615e-01  7.975038e-01
 9.160598e+00  8.641219e-01  7.941153e-01  7.932815e-01
 9.682153e+00  8.624593e-01  7.902652e-01  7.890038e-01
 1.023340e+01  8.608609e-01  7.864149e-01  7.846723e-01
 1.081604e+01  8.593257e-01  7.825678e-01  7.802889e-01
 1.143184e+01  8.578527e-01  7.787271e-01  7.758552e-01
 1.208271e+01  8.564407e-01  7.748959e-01  7.713728e-01
 1.277063e+01  8.550884e-01  7.710769e-01  7.668433e-01
 1.349772e+01  8.537942e-01  7.672727e-01  7.622684e-01
 1.426621e+01  8.525566e-01  7.634855e-01  7.576496e-01
 1.507845e+01  8.513738e-01  7.597175e-01  7.529884e-01
 1.593694e+01  8.502442e-01  7.559707e-01  7.482864e-01
 1.684430e+01  8.491661e-01  7.522468e-01  7.435450e-01
 1.780332e+01  8.481376e-01  7.485474e-01  7.387657e-01
 1.881694e+01  8.471569e-01  7.448739e-01  7.339499e-01
 1.988828e+01  8.462224e-01  7.412276e-01  7.290990e-01
 2.102061e+01  8.453321e-01  7.376097e-01  7.242144e-01
 2.221741e+01  8.444844e-01  7.340210e-01  7.192975e-01
 2.348235e+01  8.436776e-01  7.304626e-01  7.143495e-01
 2.481930e+01  8.429099e-01  7.269351e-01  7.093719e-01
 2.623238e+01  8.421797e-01  7.234393e-01  7.043658e-01
 2.772591e+01  8.414854e-01  7.199756e-01  6.993326e-01
 2.930447e+01  8.408254e-01  7.165445e-01  6.942735e-01
 3.097291e+01  8.401982e-01  7.131464e-01  6.891898e-01
 3.273634e+01  8.396023e-01  7.097815e-01  6.840827e-01
 3.460016e+01  8.390363e-01  7.064502e-01  6.789533e-01
 3.657011e+01  8.384989e-01  7.031526e-01  6.738029e-01
