#           N         Chain          BCCA          BPCA
 1.000000e+00  1.000000e+00  9.957378e-01  9.957378e-01
 1.056935e+00  9.918566e-01  9.911811e-01  9.911811e-01
 1.117111e+00  9.841519e-01  9.865809e-01  9.865809e-01
 1.180713e+00  9.768623e-01  9.819382e-01  9.819382e-01
 1.247936e+00  9.699653e-01  9.772542e-01  9.772542e-01
 1.318987e+00  9.634398e-01  9.725299e-01  9.725299e-01
 1.394083e+00  9.572659e-01  9.677665e-01  9.677665e-01
 1.473454e+00  9.514245e-01  9.629652e-01  9.629652e-01
 1.557345e+00  9.458978e-01  9.581269e-01  9.581269e-01
 1.646012e+00  9.406688e-01  9.532529e-01  9.532529e-01
 1.739726e+00  9.357214e-01  9.483442e-01  9.483442e-01
 1.838777e+00  9.310406e-01  9.434019e-01  9.434019e-01
 1.943467e+00  9.266119e-01  9.384270e-01  9.384270e-01
 2.054117e+00  9.224218e-01  9.334208e-01  9.334208e-01
 2.171068e+00  9.184574e-01  9.283842e-01  9.283842e-01
 2.294676e+00  9.147065e-01  9.233184e-01  9.233184e-01
 2.425323e+00  9.111577e-01  9.182243e-01  9.182243e-01
 2.563407e+00  9.078001e-01  9.131031e-01  9.131031e-01
 2.709354e+00  9.046233e-01  9.079558e-01  9.079558e-01
 2.863610e+00  9.016176e-01  9.027834e-01  9.027834e-01
 3.026648e+00  8.987739e-01  8.975869e-01  8.975869e-01
 3.198969e+00  8.960834e-01  8.923675e-01  8.923675e-01
 3.381101e+00  8.935377e-01  8.871261e-01  8.871261e-01
 3.573602e+00  8.911292e-01  8.818637e-01  8.818637e-01
 3.777064e+00  8.888505e-01  8.765813e-01  8.765813e-01
 3.992109e+00  8.866945e-01  8.712799e-01  8.712799e-01
 4.219398e+00  8.846546e-01  8.659605e-01  8.659605e-01
 4.459628e+00  8.827246e-01  8.606242e-01  8.606242e-01
 4.713535e+00  8.808986e-01  8.552717e-01  8.552717e-01
 4.981898e+00  8.791710e-01  8.499042e-01  8.499042e-01
 5.265540e+00  8.775364e-01  8.445225e-01  8.445225e-01
 5.565331e+00  8.759898e-01  8.391276e-01  8.391276e-01
 5.882190e+00  8.745266e-01  8.337204e-01  8.337204e-01
 6.217090e+00  8.731422e-01  8.283019e-01  8.283019e-01
 6.571058e+00  8.718323e-01  8.228729e-01  8.228729e-01
 6.945178e+00  8.705931e-01  8.174343e-01  8.174343e-01
 7.340598e+00  8.694205e-01  8.119871e-01  8.119871e-01
 7.758532e+00  8.683112e-01  8.065321e-01  8.065321e-01
 8.200261e+00  8.672616e-01  8.010702e-01  8.010702e-01
 8.667139e+00  8.662685e-01  7.956022e-01  7.956022e-01
 9.160598e+00  8.653290e-01  7.901290e-01  7.901290e-01
 9.682153e+00  8.644400e-01  7.846515e-01  7.846515e-01
 1.023340e+01  8.635989e-01  7.791704e-01  7.791704e-01
 1.081604e+01  8.628032e-01  7.736866e-01  7.736866e-01
 1.143184e+01  8.620503e-01  7.682008e-01  7.682008e-01
 1.208271e+01  8.613379e-01  7.627139e-01  7.627139e-01
 1.277063e+01  8.606640e-01  7.572267e-01  7.572267e-01
 1.349772e+01  8.600263e-01  7.517399e-01  7.517399e-01
 1.426621e+01  8.594230e-01  7.462543e-01  7.462543e-01
 1.507845e+01  8.588522e-01  7.407707e-01  7.407707e-01
 1.593694e+01  8.583121e-01  7.352897e-01  7.352897e-01
 1.684430e+01  8.578011e-01  7.353239e-01  7.305304e-01
 1.780332e+01  8.573177e-01  7.324059e-01  7.263536e-01
 1.881694e+01  8.568603e-01  7.295102e-01  7.220878e-01
 1.988828e+01  8.564275e-01  7.266364e-01  7.177361e-01
